date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:58:47	51974/51974	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2022:13:52%20GMT	http://codecares.com/html/seba/index-one.html	C:/docteur/codecares.com/html/seba/index-one.html	(from )
11:58:47	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Dec%202018%2010:58:46%20GMT	http://codecares.com/robots.txt		(from )
11:58:48	1765/1765	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202018%2015:12:46%20GMT	http://codecares.com/html/seba/images/favicon.png	C:/docteur/codecares.com/html/seba/images/favicon.png	(from http://codecares.com/html/seba/index-one.html)
11:58:48	121200/121200	---M-Z	200	added ('OK')	text/css	date:Tue,%2025%20Jul%202017%2005:08:24%20GMT	http://codecares.com/html/seba/css/bootstrap.min.css	C:/docteur/codecares.com/html/seba/css/bootstrap.min.css	(from http://codecares.com/html/seba/index-one.html)
11:58:49	63330/63330	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Aug%202018%2000:59:26%20GMT	http://codecares.com/html/seba/css/style.css	C:/docteur/codecares.com/html/seba/css/style.css	(from http://codecares.com/html/seba/index-one.html)
11:58:49	10276/10276	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Aug%202018%2001:03:32%20GMT	http://codecares.com/html/seba/css/responsive.css	C:/docteur/codecares.com/html/seba/css/responsive.css	(from http://codecares.com/html/seba/index-one.html)
11:58:49	4056/4056	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202018%2015:01:18%20GMT	http://codecares.com/html/seba/images/logo.png	C:/docteur/codecares.com/html/seba/images/logo.png	(from http://codecares.com/html/seba/index-one.html)
11:58:50	53031/53031	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2022:47:56%20GMT	http://codecares.com/html/seba/index-two.html	C:/docteur/codecares.com/html/seba/index-two.html	(from http://codecares.com/html/seba/index-one.html)
11:58:50	51028/51028	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2023:41:12%20GMT	http://codecares.com/html/seba/index-three.html	C:/docteur/codecares.com/html/seba/index-three.html	(from http://codecares.com/html/seba/index-one.html)
11:58:51	52217/52217	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2023:17:16%20GMT	http://codecares.com/html/seba/index-rtl-one.html	C:/docteur/codecares.com/html/seba/index-rtl-one.html	(from http://codecares.com/html/seba/index-one.html)
11:58:51	53278/53278	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2023:34:34%20GMT	http://codecares.com/html/seba/index-rtl-two.html	C:/docteur/codecares.com/html/seba/index-rtl-two.html	(from http://codecares.com/html/seba/index-one.html)
11:58:51	51274/51274	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2023:47:00%20GMT	http://codecares.com/html/seba/index-rtl-three.html	C:/docteur/codecares.com/html/seba/index-rtl-three.html	(from http://codecares.com/html/seba/index-one.html)
11:58:52	31557/31557	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2022:15:14%20GMT	http://codecares.com/html/seba/cardiology.html	C:/docteur/codecares.com/html/seba/cardiology.html	(from http://codecares.com/html/seba/index-one.html)
11:58:52	31553/31553	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2022:15:04%20GMT	http://codecares.com/html/seba/emergency.html	C:/docteur/codecares.com/html/seba/emergency.html	(from http://codecares.com/html/seba/index-one.html)
11:58:53	31553/31553	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2022:14:50%20GMT	http://codecares.com/html/seba/neurology.html	C:/docteur/codecares.com/html/seba/neurology.html	(from http://codecares.com/html/seba/index-one.html)
11:58:53	31545/31545	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2022:14:46%20GMT	http://codecares.com/html/seba/surgery.html	C:/docteur/codecares.com/html/seba/surgery.html	(from http://codecares.com/html/seba/index-one.html)
11:58:53	31561/31561	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2022:14:58%20GMT	http://codecares.com/html/seba/gynaecology.html	C:/docteur/codecares.com/html/seba/gynaecology.html	(from http://codecares.com/html/seba/index-one.html)
11:58:54	31541/31541	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2022:15:12%20GMT	http://codecares.com/html/seba/dental.html	C:/docteur/codecares.com/html/seba/dental.html	(from http://codecares.com/html/seba/index-one.html)
11:58:54	24220/24220	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2022:14:44%20GMT	http://codecares.com/html/seba/treatment-one.html	C:/docteur/codecares.com/html/seba/treatment-one.html	(from http://codecares.com/html/seba/index-one.html)
11:58:55	24239/24239	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2022:14:46%20GMT	http://codecares.com/html/seba/treatment-two.html	C:/docteur/codecares.com/html/seba/treatment-two.html	(from http://codecares.com/html/seba/index-one.html)
11:58:55	26230/26230	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2022:14:42%20GMT	http://codecares.com/html/seba/treatment-details.html	C:/docteur/codecares.com/html/seba/treatment-details.html	(from http://codecares.com/html/seba/index-one.html)
11:58:55	27767/27767	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2022:15:14%20GMT	http://codecares.com/html/seba/doctors-col-3.html	C:/docteur/codecares.com/html/seba/doctors-col-3.html	(from http://codecares.com/html/seba/index-one.html)
11:58:56	30366/30366	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2022:15:06%20GMT	http://codecares.com/html/seba/doctors-col-4.html	C:/docteur/codecares.com/html/seba/doctors-col-4.html	(from http://codecares.com/html/seba/index-one.html)
11:58:56	32738/32738	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2022:15:06%20GMT	http://codecares.com/html/seba/doctors-details.html	C:/docteur/codecares.com/html/seba/doctors-details.html	(from http://codecares.com/html/seba/index-one.html)
11:58:57	27240/27240	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2022:15:26%20GMT	http://codecares.com/html/seba/blog-grid.html	C:/docteur/codecares.com/html/seba/blog-grid.html	(from http://codecares.com/html/seba/index-one.html)
11:58:57	27206/27206	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2022:15:30%20GMT	http://codecares.com/html/seba/blog-full-width.html	C:/docteur/codecares.com/html/seba/blog-full-width.html	(from http://codecares.com/html/seba/index-one.html)
11:58:57	36428/36428	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2022:15:20%20GMT	http://codecares.com/html/seba/blog-right-sidebar.html	C:/docteur/codecares.com/html/seba/blog-right-sidebar.html	(from http://codecares.com/html/seba/index-one.html)
11:58:58	36428/36428	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2022:15:22%20GMT	http://codecares.com/html/seba/blog-left-sidebar.html	C:/docteur/codecares.com/html/seba/blog-left-sidebar.html	(from http://codecares.com/html/seba/index-one.html)
11:58:58	29729/29729	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2022:15:18%20GMT	http://codecares.com/html/seba/blog-single.html	C:/docteur/codecares.com/html/seba/blog-single.html	(from http://codecares.com/html/seba/index-one.html)
11:58:59	26000/26000	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2022:14:48%20GMT	http://codecares.com/html/seba/service.html	C:/docteur/codecares.com/html/seba/service.html	(from http://codecares.com/html/seba/index-one.html)
11:58:59	23140/23140	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2022:15:32%20GMT	http://codecares.com/html/seba/account.html	C:/docteur/codecares.com/html/seba/account.html	(from http://codecares.com/html/seba/index-one.html)
11:58:59	25756/25756	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Aug%202018%2015:00:32%20GMT	http://codecares.com/html/seba/faq.html	C:/docteur/codecares.com/html/seba/faq.html	(from http://codecares.com/html/seba/index-one.html)
11:59:00	2751/2751	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202018%2019:44:42%20GMT	http://codecares.com/html/seba/error.html	C:/docteur/codecares.com/html/seba/error.html	(from http://codecares.com/html/seba/index-one.html)
11:59:00	23024/23024	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2022:15:14%20GMT	http://codecares.com/html/seba/contact.html	C:/docteur/codecares.com/html/seba/contact.html	(from http://codecares.com/html/seba/index-one.html)
11:59:09	48077/48077	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Mar%202018%2015:03:14%20GMT	http://codecares.com/html/seba/images/service/1.jpg	C:/docteur/codecares.com/html/seba/images/service/1.jpg	(from http://codecares.com/html/seba/index-one.html)
11:59:10	47971/47971	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Mar%202018%2015:03:14%20GMT	http://codecares.com/html/seba/images/service/3.jpg	C:/docteur/codecares.com/html/seba/images/service/3.jpg	(from http://codecares.com/html/seba/index-one.html)
11:59:11	57531/57531	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Mar%202018%2015:03:14%20GMT	http://codecares.com/html/seba/images/service/2.jpg	C:/docteur/codecares.com/html/seba/images/service/2.jpg	(from http://codecares.com/html/seba/index-one.html)
11:59:16	40476/40476	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Mar%202018%2015:03:14%20GMT	http://codecares.com/html/seba/images/service/4.jpg	C:/docteur/codecares.com/html/seba/images/service/4.jpg	(from http://codecares.com/html/seba/index-one.html)
11:59:19	47949/47949	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Mar%202018%2015:03:14%20GMT	http://codecares.com/html/seba/images/service/5.jpg	C:/docteur/codecares.com/html/seba/images/service/5.jpg	(from http://codecares.com/html/seba/index-one.html)
11:59:21	55320/55320	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Mar%202018%2015:03:14%20GMT	http://codecares.com/html/seba/images/service/6.jpg	C:/docteur/codecares.com/html/seba/images/service/6.jpg	(from http://codecares.com/html/seba/index-one.html)
11:59:22	19850/19850	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Mar%202018%2015:01:52%20GMT	http://codecares.com/html/seba/images/doctor/1.jpg	C:/docteur/codecares.com/html/seba/images/doctor/1.jpg	(from http://codecares.com/html/seba/index-one.html)
11:59:25	22769/22769	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Mar%202018%2015:01:52%20GMT	http://codecares.com/html/seba/images/doctor/2.jpg	C:/docteur/codecares.com/html/seba/images/doctor/2.jpg	(from http://codecares.com/html/seba/index-one.html)
11:59:26	21253/21253	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Mar%202018%2015:01:54%20GMT	http://codecares.com/html/seba/images/doctor/3.jpg	C:/docteur/codecares.com/html/seba/images/doctor/3.jpg	(from http://codecares.com/html/seba/index-one.html)
11:59:28	18533/18533	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Mar%202018%2015:01:54%20GMT	http://codecares.com/html/seba/images/doctor/4.jpg	C:/docteur/codecares.com/html/seba/images/doctor/4.jpg	(from http://codecares.com/html/seba/index-one.html)
11:59:30	25328/25328	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Mar%202018%2015:01:54%20GMT	http://codecares.com/html/seba/images/doctor/5.jpg	C:/docteur/codecares.com/html/seba/images/doctor/5.jpg	(from http://codecares.com/html/seba/index-one.html)
11:59:31	17762/17762	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Mar%202018%2015:01:54%20GMT	http://codecares.com/html/seba/images/doctor/6.jpg	C:/docteur/codecares.com/html/seba/images/doctor/6.jpg	(from http://codecares.com/html/seba/index-one.html)
11:59:33	7225/7225	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Jul%202017%2002:36:08%20GMT	http://codecares.com/html/seba/images/testimonial/1.jpg	C:/docteur/codecares.com/html/seba/images/testimonial/1.jpg	(from http://codecares.com/html/seba/index-one.html)
11:59:35	8104/8104	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Jul%202017%2002:36:26%20GMT	http://codecares.com/html/seba/images/testimonial/2.jpg	C:/docteur/codecares.com/html/seba/images/testimonial/2.jpg	(from http://codecares.com/html/seba/index-one.html)
11:59:36	6960/6960	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Jul%202017%2002:37:04%20GMT	http://codecares.com/html/seba/images/testimonial/3.jpg	C:/docteur/codecares.com/html/seba/images/testimonial/3.jpg	(from http://codecares.com/html/seba/index-one.html)
11:59:43	40895/40895	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Mar%202018%2014:58:50%20GMT	http://codecares.com/html/seba/images/blog/1.jpg	C:/docteur/codecares.com/html/seba/images/blog/1.jpg	(from http://codecares.com/html/seba/index-one.html)
11:59:45	329784/329784	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Aug%202018%2016:12:02%20GMT	http://codecares.com/html/seba/images/our-doctor.png	C:/docteur/codecares.com/html/seba/images/our-doctor.png	(from http://codecares.com/html/seba/index-one.html)
11:59:45	90167/90167	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Mar%202018%2017:43:24%20GMT	http://codecares.com/html/seba/images/video.jpg	C:/docteur/codecares.com/html/seba/images/video.jpg	(from http://codecares.com/html/seba/index-one.html)
11:59:47	9470/9470	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Mar%202018%2020:52:54%20GMT	http://codecares.com/html/seba/images/blog/post-1.jpg	C:/docteur/codecares.com/html/seba/images/blog/post-1.jpg	(from http://codecares.com/html/seba/index-one.html)
11:59:49	11173/11173	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Mar%202018%2020:53:30%20GMT	http://codecares.com/html/seba/images/blog/post-2.jpg	C:/docteur/codecares.com/html/seba/images/blog/post-2.jpg	(from http://codecares.com/html/seba/index-one.html)
11:59:50	43352/43352	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Mar%202018%2014:58:50%20GMT	http://codecares.com/html/seba/images/blog/2.jpg	C:/docteur/codecares.com/html/seba/images/blog/2.jpg	(from http://codecares.com/html/seba/index-one.html)
11:59:51	9043/9043	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Mar%202018%2020:54:04%20GMT	http://codecares.com/html/seba/images/blog/post-3.jpg	C:/docteur/codecares.com/html/seba/images/blog/post-3.jpg	(from http://codecares.com/html/seba/index-one.html)
11:59:51	238060/238060	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Mar%202018%2018:18:54%20GMT	http://codecares.com/html/seba/images/doctor.png	C:/docteur/codecares.com/html/seba/images/doctor.png	(from http://codecares.com/html/seba/index-one.html)
11:59:52	4055/4055	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2002%20Aug%202016%2013:50:18%20GMT	http://codecares.com/html/seba/js/bootstrap-dropdownhover.min.js	C:/docteur/codecares.com/html/seba/js/bootstrap-dropdownhover.min.js	(from http://codecares.com/html/seba/index-one.html)
11:59:53	37045/37045	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2006%20Mar%202017%2018:53:42%20GMT	http://codecares.com/html/seba/js/bootstrap.min.js	C:/docteur/codecares.com/html/seba/js/bootstrap.min.js	(from http://codecares.com/html/seba/index-one.html)
11:59:53	5853/5853	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2021%20Jun%202016%2013:35:38%20GMT	http://codecares.com/html/seba/js/jquery-scrolltofixed-min.js	C:/docteur/codecares.com/html/seba/js/jquery-scrolltofixed-min.js	(from http://codecares.com/html/seba/index-one.html)
11:59:53	56683/56683	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Mar%202018%2014:58:50%20GMT	http://codecares.com/html/seba/images/blog/3.jpg	C:/docteur/codecares.com/html/seba/images/blog/3.jpg	(from http://codecares.com/html/seba/index-one.html)
11:59:54	85580/85580	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2001%20May%202017%2015:08:08%20GMT	http://codecares.com/html/seba/js/jquery.min.js	C:/docteur/codecares.com/html/seba/js/jquery.min.js	(from http://codecares.com/html/seba/index-one.html)
11:59:54	1115/1115	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2028%20Oct%202016%2007:06:44%20GMT	http://codecares.com/html/seba/js/jquery.countup.min.js	C:/docteur/codecares.com/html/seba/js/jquery.countup.min.js	(from http://codecares.com/html/seba/index-one.html)
11:59:55	8044/8044	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2002%20Jul%202017%2019:37:36%20GMT	http://codecares.com/html/seba/js/jquery.waypoints.min.js	C:/docteur/codecares.com/html/seba/js/jquery.waypoints.min.js	(from http://codecares.com/html/seba/index-one.html)
11:59:55	34180/34180	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2006%20Mar%202018%2017:40:20%20GMT	http://codecares.com/html/seba/js/bootstrap-datepicker.min.js	C:/docteur/codecares.com/html/seba/js/bootstrap-datepicker.min.js	(from http://codecares.com/html/seba/index-one.html)
11:59:55	4008/4008	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2028%20Feb%202017%2002:30:56%20GMT	http://codecares.com/html/seba/js/dyscrollup.js	C:/docteur/codecares.com/html/seba/js/dyscrollup.js	(from http://codecares.com/html/seba/index-one.html)
